[Growth,R1,R2,R2_rev,R3,R4,R5a,R5b,R6,R7,R8,R8_rev,Rres,Tc1,Tc2,Td,Te,Tf,Th,To2]
24 [1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0]
25 [1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1]
26 [1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1]
27 [1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1]
28 [1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1]
29 [1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0]
30 [1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0]
31 [1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0]
32 [1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0]
33 [1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1]
34 [1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1]
35 [1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1]
36 [1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1]
37 [1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0]
38 [1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0]
39 [1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0]
40 [1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0]
41 [1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1]
42 [1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1]
43 [1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0]
44 [1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0]
45 [1,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0]
46 [1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0]
47 [1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0]
48 [1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0]
49 [1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1]
50 [1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1]
51 [1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1]
52 [1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1]
53 [1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0]
54 [1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0]
55 [1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0]
56 [1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0]
57 [1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1]
58 [1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1]
59 [1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1]
60 [1,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1]
61 [1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0]
62 [1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0]
63 [1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0]
64 [1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0]
65 [1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1]
66 [1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1]
67 [1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1]
68 [1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,1]
69 [1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1]
70 [1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,1]
71 [1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,1]
72 [1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,1,1]
73 [1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1]
74 [1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1]
75 [1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0]
76 [1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0]
77 [1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1]
78 [1,1,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1]
79 [1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0]
80 [1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0]
% 8,939,402,892 inferences, 1060.044 CPU in 1060.044 seconds (100% CPU, 8433051 Lips)
